mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	235	hin									
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	236	ge-									
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	237	da-									
21	21	80	80	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	238	ge-									
21	21	82	82	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	239	ben,									
21	21	83	83	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	240	da-									
21	21	80	80	1.5	0	0	Chord	4/4	4	1	3/8	1/4	3/2	241	ge-									3
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	4	1	1/16	1/16	1	242										3
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	243										3
21	21	82	82	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	244										3
21	21	80	80	1.5	0	0	Chord	4/4	5	1	3/8	1/4	3/2	245										
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	5	1	1/16	1/16	1	246										
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	5	1	1/16	1/16	1	247										
21	21	82	82	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	248	5									4
21	21	83	83	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	249	6									4
22	22	84	84	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	250	ge-									5
22	22	171/2	171/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	251										5
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	252										5
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	253										
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	254	hin									
22	22	85	85	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	255	ge-									
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	256	ge-									
22	22	84	84	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	257	hin									
22	22	85	85	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	258	ge-									
22	22	86	86	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	259	ge-									
22	22	84	84	4.0	0	0	Chord	4/4	4	1	1	1	1	260										
22	22	84	84	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	261	3									
22	22	85	85	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	262	4									
22	22	86	86	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	263	4									
22	22	87	87	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	264										
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	265	ben,									
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	266	wie									
23	23	91	91	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	267	sollt									
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	268	er									
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	269	ben,									
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	270	wie									
23	23	91	91	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	271	sollt									
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	272	er									
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	273	ben,									
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	274	wie									
23	23	91	91	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	275	sollt									
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	276	er									
23	23	88	88	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	277	ben,									
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	4	1	1/8	1/8	1	278	wie									
23	23	91	91	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	279	sollt									
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	280	er									
23	23	88	88	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	281										
23	23	90	90	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	282										
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	283	uns									
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	284	mit									
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	285	ihm									
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	286	uns									
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	287	mit									
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	288	ihm									
24	24	92	92	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	289	uns									
24	24	93	93	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	290	mit									
24	24	94	94	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	291	ihm									
24	24	92	92	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	292	uns									
24	24	93	93	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	293	mit									
24	24	94	94	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	294	ihm									
24	24	92	92	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	295										
24	24	94	94	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	296										
25	25	96	96	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	297	denn									
25	25	97	97	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	298	nicht									
25	25	99	99	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	299	al-									
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	300	denn									
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	301	nicht									
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	302	al-									
25	25	96	96	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	303	denn									
25	25	97	97	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	304	nicht									
25	25	98	98	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	305	al-									
25	25	96	96	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	306	denn									
25	25	97	97	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	307	nicht									
25	25	98	98	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	308	al-									
25	25	99	99	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	309	les									
25	25	96	96	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	310										
25	25	97	97	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	311										
25	25	98	98	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	312										
25	25	99	99	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	313										
26	26	100	100	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	314	les									
26	26	101	101	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	315	schen-									6
26	26	103	103	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	316										
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	317	les									
26	26	102	102	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	318	schen-									
26	26	100	100	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	319										
26	26	101	101	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	320	les									
26	26	102	102	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	321	schen-									
26	26	100	100	4.0	0	0	Chord	4/4	4	1	1	1	1	322	schen-									
26	26	100	100	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	323	7	3								
26	26	101	101	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	324	6	4								
26	26	102	102	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	325		4								
26	26	103	103	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	326		3								
27	27	104	104	4.0	0	0	Chord	4/4	1	1	1	1	1	327	ken?									
27	27	104	104	4.0	0	0	Chord	4/4	2	1	1	1	1	328	ken?									
27	27	104	104	4.0	0	0	Chord	4/4	3	1	1	1	1	329	ken?									
27	27	104	104	4.0	0	0	Chord	4/4	4	1	1	1	1	330	ken?									
27	27	104	104	4.0	0	0	Chord	4/4	5	1	1	1	1	331										
28	28	110	110	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	332	Wer									
28	28	108	108	4.0	0	0	Chord	4/4	2	1	1	1	1	333										
29	29	112	112	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	334	will									
29	29	115	115	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	335	die									
29	29	112	112	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	336										
29	29	115	115	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	337										
30	30	116	116	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	338	Aus-									
30	30	117	117	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	339	er-									
30	30	118	118	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	340	wähl-									
30	30	119	119	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	341	ten									
30	30	116	116	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	342										
30	30	118	118	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	343										
30	30	119	119	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	344										
31	31	120	120	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	345	Got-									
31	31	122	122	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	346	tes									
31	31	123	123	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	347	be-									
31	31	120	120	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	348										
31	31	122	122	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	349										
31	31	123	123	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	350										
32	32	124	124	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	351	schul-									
32	32	251/2	251/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	352	di-									
32	32	126	126	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	353	gen?									
32	32	124	124	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	354										
32	32	126	126	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	355										
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	356	Gott									
33	33	129	129	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	357	ist									
33	33	130	130	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	358	hie,									
33	33	131	131	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	359	der									
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	360	ge-									
33	33	128	128	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	361	Gott									
33	33	129	129	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	362	ist									
33	33	130	130	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	363	hie,									
33	33	131	131	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	364	der									
33	33	263/2	263/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	365	ge-									
33	33	128	128	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	366										
33	33	130	130	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	367										
34	34	132	132	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	368	recht									
34	34	134	134	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	369	macht,									
34	34	132	132	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	370	recht									
34	34	134	134	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	371	macht,									
34	34	269/2	269/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	372	Wer									
34	34	135	135	0.75	3/4	3/4	Chord	4/4	3	1	3/16	1/8	3/2	373	will									
34	34	543/4	543/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	374	ver									
34	34	132	132	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	375										
34	34	134	134	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	376										
35	35	136	136	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	377	dam-									
35	35	137	137	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	378	men?									
35	35	138	138	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	379	Chri-									
35	35	139	139	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	380	stus									
35	35	279/2	279/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	381	ist									
35	35	136	136	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	382										
35	35	138	138	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	383										
35	35	139	139	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	384										
35	35	279/2	279/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	385										
36	36	140	140	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	386	Chri-									
36	36	141	141	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	387	stus									
36	36	283/2	283/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	388	ist									
36	36	142	142	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	389	hie,									
36	36	140	140	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	390	hie,									
36	36	143	143	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	391	der									
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	392	ge-									
36	36	140	140	3.0	0	0	Chord	4/4	5	1	3/4	1/2	3/2	393										
36	36	143	143	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	394										
36	36	287/2	287/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	395										
37	37	144	144	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	396										
37	37	145	145	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	397	der									
37	37	291/2	291/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	398	ge-									
37	37	146	146	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	399	stor-									
37	37	295/2	295/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	400	ben									
37	37	293/2	293/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	401	wer									
37	37	147	147	0.75	3/4	3/4	Chord	4/4	3	1	3/16	1/8	3/2	402	will									
37	37	591/4	591/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	403	ver									
37	37	144	144	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	404	stor-									7
37	37	145	145	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	405										
37	37	147	147	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	406	ben									
37	37	144	144	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	407										
37	37	145	145	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	408										
37	37	146	146	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	409	2									
37	37	147	147	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	410										
38	38	297/2	297/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	411	wer									
38	38	149	149	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	412	will									
38	38	599/4	599/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	413	ver-									
38	38	150	150	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	414	dam-									
38	38	151	151	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	415	men?									
38	38	148	148	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	416	ist,									
38	38	301/2	301/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	417	wer									
38	38	151	151	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	418	will									
38	38	607/4	607/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	419	ver-									
38	38	148	148	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	420	dam-									
38	38	149	149	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	421	men?									
38	38	148	148	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	422	ist,									
38	38	148	148	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	423										
38	38	150	150	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	424										
39	39	152	152	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	425	dam-									
39	39	153	153	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	426	men?									
39	39	305/2	305/2	0.5	1/8	1/8	Chord	4/4	4	1	1/8	1/8	1	427	wer									
39	39	153	153	0.75	1/4	1/4	Chord	4/4	4	1	3/16	1/8	3/2	428	will									
39	39	615/4	615/4	0.25	7/16	7/16	Chord	4/4	4	1	1/16	1/16	1	429	ver-									
39	39	154	154	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	430	dam-									
39	39	155	155	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	431	men?									
39	39	152	152	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	432										
39	39	154	154	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	433										
40	40	158	158	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	434	Chri-									
40	40	159	159	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	435	stus									
40	40	319/2	319/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	436	ist									
40	40	156	156	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	437	Chri-									
40	40	157	157	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	438	stus									
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	439	ist									
40	40	158	158	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	440	hie,									
40	40	156	156	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	441										
40	40	157	157	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	442										
40	40	158	158	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	443										
41	41	160	160	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	444	hie,									
41	41	163	163	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	445	der									
41	41	327/2	327/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	446	ge-									
41	41	160	160	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	447										
41	41	161	161	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	448	der									
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	449	ge-									
41	41	162	162	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	450	stor-									8
41	41	163	163	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	451										8
41	41	160	160	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	452										
41	41	162	162	0.0	1/2	1/2	StaffText	4/4	4	1	0							1						
41	41	162	162	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	453										9
41	41	163	163	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	454	4									9
42	42	164	164	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	455	stor-									
42	42	331/2	331/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	456	ben									
42	42	166	166	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	457	ist,									
42	42	333/2	333/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	458	wer									
42	42	167	167	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	459	will									
42	42	671/4	671/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	460	ver-									
42	42	164	164	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	461										
42	42	165	165	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	462	ben									
42	42	166	166	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	463	ist,									
42	42	164	164	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	464										
